chr1	16946319	17026633
chr1	16948383	17046705
chr1	16969184	17046705
chr1	25572766	25633303
chr1	25610924	25667240
chr1	25616999	25667240
chr3	195346180	195474318
chr3	195397955	195474318
chr4	122734223	122739022
chr4	122734223	122739470
chr5	140202891	140257544
chr5	140209249	140243165
chr5	140209249	140257544
chr5	140209249	140264393
chr5	140213819	140228252
chr6	35748774	35755965
chr6	35754673	35782742
chr6	136596468	136600023
chr6	136596468	136601199
chr7	142326530	142470831
chr7	142334602	142470831
chr7	142353329	142470831
chr7	142364200	142470831
chr14	20201439	20471389
chr16	28618057	28711910
chr16	28618057	28734990
chr16	55844355	55867146
chr19	55324455	55363720
chr19	55324455	55378310
chr21	10862490	10910500
chr21	10862490	10922111
chr21	10862490	10944920
chr22	24313394	24384415
